cost_per_click,start_date,end_date,total_budget,start_month,end_month,campaign_phase,days,region,locality,num_events,category,shop,tracking,ticket_capacity,average_ticket_price,facebook,instagram,google_search,google_display,twitter,facebook_likes,facebook_interest,instagram_interest,google_search_volume,twitter_interest
0.1677,180930.00,181121.00,857.00,9.00,11.00,2.00,52.00,germany,single,,music,starticket,no,6000.00,70.00,1.00,1.00,1.00,0.00,0.00,29000.00,210000.00,110000.00,11000.00,90000.00
0.2884,180922.00,181001.00,473.00,9.00,10.00,2.00,9.00,switzerland,single,,conference,showare,pv,4000.00,25.00,1.00,1.00,1.00,0.00,0.00,200.00,,,,
0.2167,181008.00,181017.00,3217.57,10.00,10.00,2.00,9.00,germany,multiple,,movie,stagelink,pv,30000.00,6.00,1.00,1.00,1.00,0.00,0.00,2900.00,3500000.00,2700000.00,250000.00,1200000.00
0.1093,181017.00,181116.00,1489.00,10.00,11.00,2.00,30.00,germany,multiple,,comedy,eventim,no,15000.00,31.00,1.00,1.00,0.00,0.00,0.00,809000.00,1800000.00,1100000.00,42000.00,940000.00
0.3374,181023.00,181115.00,1310.00,10.00,11.00,2.00,23.00,switzerland,single,,comedy,showare,pu,3600.00,60.00,1.00,1.00,1.00,0.00,0.00,4500.00,,,,
0.3458,181122.00,181231.00,2060.00,11.00,12.00,2.00,39.00,switzerland,single,,music,showare,pu,9600.00,70.00,1.00,0.00,1.00,0.00,0.00,4500.00,,,,
0.2171,181017.00,181101.00,447.00,10.00,11.00,2.00,15.00,germany,single,,conference,tito,pv,20000.00,75.00,1.00,1.00,1.00,0.00,0.00,24000.00,,,,
0.3188,181103.00,181201.00,984.00,11.00,12.00,2.00,28.00,germany,multiple,1.00,music,reservix,pv,30000.00,50.00,1.00,1.00,1.00,0.00,0.00,10000.00,530000.00,1300000.00,26000.00,420000.00
0.3780,181016.00,181107.00,420.17,10.00,11.00,1.00,22.00,germany,multiple,,music,custom,no,,2.00,1.00,1.00,1.00,0.00,0.00,100.00,790000.00,810000.00,6000.00,620000.00
0.3048,181112.00,181201.00,319.00,11.00,12.00,2.00,19.00,france,single,1.00,music,custom,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.3416,181112.00,181201.00,457.00,11.00,12.00,2.00,19.00,germany,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3166,181112.00,181201.00,387.00,11.00,12.00,2.00,19.00,germany,single,1.00,music,custom,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.2235,181112.00,181121.00,331.00,11.00,11.00,2.00,9.00,germany,single,1.00,music,custom,pv,,,1.00,0.00,1.00,0.00,0.00,,,,,
0.3633,181112.00,181201.00,498.00,11.00,12.00,2.00,19.00,switzerland,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3286,181112.00,181201.00,436.00,11.00,12.00,2.00,19.00,austria,single,1.00,music,custom,pv,,,1.00,1.00,1.00,0.00,0.00,,,,,
0.3004,181122.00,181202.00,641.00,11.00,12.00,2.00,10.00,germany,single,2.00,tradefair,stagelink,pv,,10.00,1.00,0.00,0.00,0.00,0.00,1600.00,2000000.00,1000.00,19000.00,
0.2798,181122.00,181202.00,2594.00,11.00,12.00,2.00,10.00,germany,single,2.00,tradefair,stagelink,pv,,10.00,1.00,0.00,1.00,0.00,0.00,1600.00,,,,
0.4091,181230.00,190131.00,1245.83,12.00,1.00,2.00,32.00,switzerland,single,1.00,musical,showare,pv,,60.00,1.00,0.00,1.00,0.00,0.00,4495.00,,,,
0.2871,181201.00,181204.00,0.00,12.00,12.00,2.00,3.00,germany,single,1.00,music,custom,pv,,40.00,1.00,0.00,1.00,0.00,0.00,1400.00,1400.00,,20000.00,
0.2194,181208.00,190106.00,992.24,12.00,1.00,2.00,29.00,switzerland,single,1.00,music,custom,no,,80.00,1.00,0.00,1.00,0.00,0.00,868.00,,,15000.00,
0.1326,181111.00,181119.00,1258.54,11.00,11.00,2.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3000.00,3000.00,,13000.00,
0.2975,181111.00,181119.00,458.00,11.00,11.00,2.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.3429,181111.00,181119.00,192.50,11.00,11.00,2.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,3000.00,,20000.00,
0.6206,181111.00,181119.00,356.50,11.00,11.00,2.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.5514,181111.00,181119.00,157.04,11.00,11.00,2.00,8.00,germany,single,1.00,tradefair,nordwest,no,,10.00,1.00,1.00,1.00,0.00,0.00,3231.00,,,,
0.1841,181105.00,181228.00,1000.00,11.00,12.00,1.00,53.00,germany,single,1.00,musical,myticket,pv,,40.00,1.00,1.00,1.00,0.00,0.00,2800000.00,2800000.00,,100000.00,
0.1447,181201.00,181223.00,989.00,12.00,12.00,2.00,22.00,germany,single,,music,custom,pv,,50.00,1.00,0.00,1.00,0.00,0.00,29000.00,380000.00,260000.00,20000.00,110000.00
0.0568,190101.00,190228.00,2045.81,1.00,2.00,3.00,58.00,germany,single,1.00,other,metaltix,pv,,80.00,1.00,0.00,1.00,0.00,0.00,60000.00,60000.00,,100000.00,
0.2565,190101.00,190131.00,1399.55,1.00,1.00,2.00,30.00,germany,multiple,3.00,music,eventim,no,,45.00,1.00,1.00,1.00,0.00,0.00,,,,,
0.1103,181211.00,190101.00,988.50,12.00,1.00,2.00,21.00,germany,multiple,1.00,comedy,eventim,no,,40.00,1.00,0.00,1.00,0.00,0.00,1100000.00,2000000.00,990000.00,35000.00,720000.00
0.1651,190101.00,190131.00,498.15,1.00,1.00,2.00,30.00,germany,single,1.00,music,custom,no,,44.00,1.00,0.00,1.00,0.00,0.00,1000.00,1000.00,,10000.00,
0.4843,181227.00,190126.00,412.00,12.00,1.00,2.00,30.00,germany,single,4.00,comedy,ticket.io,no,2000.00,70.00,1.00,0.00,1.00,0.00,0.00,495.00,,,10000.00,
0.0589,181231.00,190127.00,500.37,12.00,1.00,2.00,27.00,germany,multiple,11.00,music,custom,pv,10000.00,25.00,1.00,0.00,1.00,0.00,0.00,4000.00,1500000.00,,40000.00,100000.00
0.0759,190105.00,190207.00,500.00,1.00,2.00,2.00,33.00,germany,multiple,5.00,comedy,custom,pv,5000.00,25.00,1.00,1.00,1.00,0.00,0.00,230000.00,100000.00,,44000.00,2100000.00
0.1838,181222.00,190109.00,462.00,12.00,1.00,2.00,18.00,germany,single,1.00,sports,qtixx,no,,40.00,1.00,0.00,1.00,0.00,0.00,,,,230000.00,
